CODE,DATA_VALUE All,DATA_VALUE NoC,DATA_VALUE 1,DATA_VALUE 2,DATA_VALUE 3,DATA_VALUE 4
00CNFZ,9212,2576,3216,2349,971,100
00CNFY,9053,1821,2968,2664,1375,225
00CNFX,10099,2482,3420,2820,1158,219
00CNFW,8915,1317,2609,2882,1763,344
00CNFU,9284,3354,2738,2127,890,175
00CNFT,12854,2812,4267,3730,1779,266
00CNFS,10888,2442,3540,3056,1530,320
00CNFR,10488,1501,3042,3420,1950,575
00CNFQ,8835,1873,3118,2620,1093,131
00CNFP,7096,1214,2326,2277,1114,165
00CNFN,10162,1965,3318,3172,1442,265
00CNFM,10113,3628,2711,2501,1075,198
00CNFL,8681,1394,2660,2701,1586,340
00CNFK,9866,2966,3237,2566,945,152
00CNFJ,9509,1630,2709,2968,1735,467
00CNFH,10518,2608,3411,2947,1301,251
00CNFG,9897,3363,3138,2356,913,127
00CNFF,10563,2570,3376,3126,1287,204
00CNFE,10611,3235,3270,2766,1115,225
00CNFD,10929,2067,3316,3251,1818,477
00CNFC,9619,1946,3208,2997,1276,192
00CNFB,10357,1372,3225,3382,1983,395
00CNFA,11097,2424,3454,3204,1642,373
00CNGP,9561,1094,2686,3159,2059,563
00CNGQ,8962,1765,2855,2732,1325,285
00CNGR,9321,1804,2853,2923,1423,318
00CNGA,8384,2306,2685,2241,1011,141
00CNGB,10445,2624,3515,2875,1243,188
00CNGC,9967,4179,2873,1920,860,135
00CNGD,10545,1330,3000,3671,2094,450
00CNGE,8651,1723,2747,2654,1310,217
00CNGF,10389,1298,3048,3462,2057,524
00CNGG,9282,1460,2782,2854,1838,348
00CNGH,9340,1155,2598,3164,1989,434
00CNGJ,9732,1886,2948,2968,1600,330
00CNGK,9914,2105,3001,2898,1548,362
00CNGL,12133,4581,4200,2705,565,82
00CNGM,13709,4759,4554,3185,1058,153
00CNGN,11767,4476,3976,2678,581,56
